NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT03596073,Topical Calcipotriene Treatment for Breast Cancer Immunoprevention,https://clinicaltrials.gov/study/NCT03596073,,TERMINATED,This research study is studying a topical ointment called calcipotriene to see if it can stimulate the immune cells against the breast lesion in ways that would prevent its recurrence after surgical removal,NO,Breast Cancer,DRUG: Topical Calcipotriene Ointment|OTHER: Topical Vaseline,"The changes in the magnitude of CD3+ T cell infiltration in tumor microenvironment, The change in the number of CD3+ T cells per high power microscope field in tumor microenvironment from the time of initial needle core biopsy to surgical excision., 3 Weeks","The comprehensive changes in tumor immune microenvironment, 3 Weeks|The changes in tumor immune microenvironment in patients with neoplastic tumors versus benign lesions, 3 Weeks|The changes in tumor immune microenvironment in patients with stage I-II, versus stage 0 tumors, 3 Weeks|The changes in tumor immune microenvironment in patients with hormone receptor and Her2 positive versus triple negative tumors, 3 Weeks|Serum Serum Thymic Stromal Lymphopoietin (TSLP) levels (picogram/milliliter) before and after topical calcipotriene treatment compared to Vaseline control group, 3 Weeks|Disease free survival, The duration of time measured from the start of treatment until the time of disease progression or death, whichever occurs first., From the start of treatment up to 15 years|Number of Participants with Treatment Related Adverse Events, Adverse events will be assessed using Common Terminology Criteria for Adverse Events (CTCAE v4)., From the start of treatment until 30 days after the end of treatment, up to 2 months",,Massachusetts General Hospital,,ALL,"ADULT, OLDER_ADULT",PHASE1,43,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",18-040,2018-11-07,2020-08-31,2020-08-31,2018-07-23,,2025-05-07,"Massachusetts General Hospital, Boston, Massachusetts, 02215, United States",
NCT05227131,Margetuximab Plus Tucatinib and Capecitabine in HER2-positive Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT05227131,MARGARET,WITHDRAWN,"This is a multicenter, open-label, single-arm, phase II clinical trial to evaluate the efficacy and safety of margetuximab in combination with tucatinib and capecitabine in patients with human epidermal growth factor receptor 2 (HER2)-positive metastatic breast cancer.",NO,Metastatic Breast Cancer|Advanced Breast Cancer|HER2-positive Breast Cancer,DRUG: Margetuximab|DRUG: Tucatinib|DRUG: Capecitabine,"Efficacy (Overall Response Rate (ORR)), The primary efficacy endpoint is the overall response rate (ORR), which is defined as the number of patients with complete response (CR) and partial response (PR) divided by the number of patients in the analysis set. CR and PR must be radiologically confirmed at the next tumor assessment after initial observation of response, as determined locally by the Investigator through the use of RECIST v.1.1 criteria., 29 months","Efficacy (unconfirmed ORR), Unconfirmed ORR, defined as the number of patients who experience a CR or PR divided by the number of patients in the analysis set. Tumor response will be defined as determined locally by the Investigator according to RECIST v.1.1 criteria., 29 months|Efficacy (CBR), Clinical benefit rate (CBR) is defined as the number of patients with CR, PR, or stable disease (SD) (for at least 24 weeks) divided by the number of patients in the analysis set. Tumor response will be evaluated by local Investigator's assessment according to RECIST v.1.1 criteria., 29 months|Efficacy (PFS), Progression-free survival (PFS) is defined as the period of time from treatment initiation to the first occurrence of disease progression or death from any cause, whichever occurs first, as determined locally by the Investigator through the use of RECIST v.1.1 criteria. Patients with no progression or no death will be censored at the date of their last evaluable imaging., 29 months|Efficacy (TTP), Time to tumor progression (TTP) is defined as the length of time from treatment initiation until the disease starts to get worse or spread to other parts of the body as determined locally by the Investigator through the use of RECIST v.1.1 criteria., 29 months|Efficacy (TTR), Time to tumor response (TTR) is defined as the time from the treatment initiation to time of the first objective tumor response (tumor shrinkage of ≥ 30%) observed for patients who achieved a CR or PR, as determined locally by the Investigator through the use of RECIST v.1.1 criteria., 29 months|Efficacy (DoR), Duration of response (DoR) is defined as the time from the first occurrence of a documented objective response to disease progression or death from any cause, whichever occurs first, as determined locally by the Investigator through the use of RECIST v.1.1 criteria., 29 months|Efficacy (maximun tumor reduction), Maximum tumor reduction is defined as the best percentage of change from baseline in the size of target tumor lesions (the biggest decrease, or smallest increase if no decrease will be observed), as determined locally by the Investigator through the use of RECIST v.1.1 criteria., 29 months|Efficacy (OS), Overall survival (OS) is defined as the time from treatment initiation to death from any cause. Patients without documented death at the time of the final analysis will be censored at the date of the last follow-up., 29 months|Safety AEs and SAEs, Incidence and severity of adverse events (AEs), serious adverse events (SAEs) according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (NCI-CTCAE) v.5.0, including dose reductions, delays, and treatment discontinuations., 29 months",,MedSIR,MacroGenics|Seagen Inc.,ALL,"ADULT, OLDER_ADULT",PHASE2,0,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,MEDOPP447|2021-006387-24,2022-05-15,2024-10,2024-10,2022-02-07,,2022-07-11,,
NCT01526473,A Phase I Study To Evaluate The Antitumor Activity And Safety Of AVX901,https://clinicaltrials.gov/study/NCT01526473,,COMPLETED,"HER2 is a protein that is over expressed in 20-30% of breast cancers. It is also found associated with lung, gastric, ovarian, and pancreatic cancers. Although there are existing therapies that can target HER2, most patients will eventually experience progression of their disease even though their cancer continues to express HER2. Therefore, new approaches are needed for treating tumors that express HER2.This clinical trial will use an investigational cancer vaccine called HER2 VRP or AVX901. The vaccine is based on a virus called Venezuelan equine encephalitis but it has been changed so it cannot cause active infection. Instead, the virus has been changed so it tells the immune system to attack cancer cells which make HER2.The objectives of the study are to evaluate the safety of immunization with HER2 VRP in patients with advanced or metastatic malignancies that express HER2, and to test whether immunization will causes a strong immune system attack against the cancer.",NO,HER2+ Cancer,BIOLOGICAL: AVX901,"Safety, The primary objective of the study is to evaluate the safety of immunization with HER2 ECDTM VRP in patients with advanced or metastatic HER2-expressing malignancies, 3 months","Immune response, The secondary objective of the study HER2 specific response by ELISPOT and ELISA., 3 months",,H. Kim Lyerly,Susan G. Komen Breast Cancer Foundation,ALL,"ADULT, OLDER_ADULT",PHASE1,22,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,Pro00034612,2012-02,2016-03,2017-12,2012-02-06,,2018-03-29,"Duke University Medical Center, Durham, North Carolina, 27710, United States",
NCT04282031,A Study of BPI-1178 in Patients With Advanced Solid Tumor and HR+/HER2- Breast Cancer,https://clinicaltrials.gov/study/NCT04282031,,RECRUITING,"BPI-1178 is a novel, orally administered inhibitor of both cyclin-dependent kinase 4（CDK4）and CDK6 kinase activity. This Phase I study is a first-in-human (FIH) clinical trial designed to evaluate the safety, tolerability, and pharmacokinetic (PK) profile of oral BPI-1178 in patients with advanced solid tumors. The Phase IIa trial is designed to investigate the anti-tumor activity and safety of BPI-1178 in combination with endocrine therapy in patients with HR+/HER2-advanced breast cancer and to determine the dosing regimen for combination with endocrine therapy in a later confirmatory study.",NO,Advanced Solid Tumor|HR+/HER2- Breast Cancer,DRUG: BPI-1178|DRUG: Fulvestrant|DRUG: Letrozole|DRUG: BPI-1178,"phase 1 and 2a: Number of subjects with dose limiting toxicity (DLT), Up to Day 28 of Cycle 1 (28 days/cycle)|phase 1: Maximum tolerated dose (MTD), Up to Day 28 in Cycle 1 (28 days/cycle)|phase 2a: Objective response rate (ORR), Up to approximately 18 months","phase 1 and 2a: Number of subjects with adverse events, Up to 30 days after the last dose of BPI-1178|phase 1: Objective response rate (ORR), Up to approximately 18 months|Phase 1 and 2a: Maximum plasma concentration (Cmax) of BPI-1178 and its main metabolites, From single dosing in phase 1 or from baseline in phase 2a to the end of Cycle 1 (28 days/cycle)|Phase 1 and 2a: Peak Plasma Time (Tmax) of BPI-1178 and its main metabolites, From single dosing in phase 1 or from baseline in phase 2a to the end of Cycle 1 (28 days/cycle)|Phase 1 and 2a: Area under the plasma concentration versus time curve (AUC) of BPI-1178 and its main metabolites, From single dosing in phase 1 or from baseline in phase 2a to the end of Cycle 1 (28 days/cycle)","Clearance of BPI-1178 and its main metabolites, From single dosing in phase 1 or from baseline in phase 2a to the end of Cycle 1 (28 days/cycle)|Half life of BPI-1178 and its main metabolites, From single dosing in phase 1 or from baseline in phase 2a to the end of Cycle 1 (28 days/cycle)|Disease control rate ( DCR), Up to approximately 18 months|Duration of response ( DoR), Up to approximately 18 months|Progression free survival (PFS), Up to approximately 18 months|Overall survival (OS), Baseline to date of death from any cause","Beta Pharma (Suzhou) Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,224,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,BPI-1178-2019-001,2020-06-15,2024-12-31,2025-06-30,2020-02-24,,2024-08-07,"Fudan University Shanghai Cancer Center, Shanghai, Shanghai, 200032, China",
NCT00098631,Lapatinib in Treating Patients With Recurrent and/or Metastatic Head and Neck Cancer,https://clinicaltrials.gov/study/NCT00098631,,COMPLETED,Lapatinib may stop the growth of tumor cells by blocking some of the enzymes needed for their growth. This phase II trial is studying how well lapatinib works in treating patients with recurrent and/or metastatic head and neck cancer.,NO,Metastatic Squamous Neck Cancer With Occult Primary|Recurrent Metastatic Squamous Neck Cancer With Occult Primary|Recurrent Squamous Cell Carcinoma of the Hypopharynx|Recurrent Squamous Cell Carcinoma of the Larynx|Recurrent Squamous Cell Carcinoma of the Lip and Oral Cavity|Recurrent Squamous Cell Carcinoma of the Nasopharynx|Recurrent Squamous Cell Carcinoma of the Oropharynx|Recurrent Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity|Salivary Gland Squamous Cell Carcinoma|Stage IV Squamous Cell Carcinoma of the Hypopharynx|Stage IV Squamous Cell Carcinoma of the Larynx|Stage IV Squamous Cell Carcinoma of the Lip and Oral Cavity|Stage IV Squamous Cell Carcinoma of the Nasopharynx|Stage IV Squamous Cell Carcinoma of the Oropharynx|Stage IV Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity|Untreated Metastatic Squamous Neck Cancer With Occult Primary,DRUG: lapatinib ditosylate|OTHER: laboratory biomarker analysis,"Objective response rate by RECIST, The 95% confidence intervals should be provided., Up to 6 years|Progression-free survival (PFS), Will be estimated using the Kaplan-Meier method., From start of treatment to time of disease progression, assessed up to 6 years","Overall survival, Will be estimated using the Kaplan-Meier method., Up to 6 years|Changes in EGFR, pEGFR, HER2, Paired t-tests or Wilcoxon signed rank tests will be performed to examine the magnitude and significance of pre-post treatment changes. To determine whether these markers are correlated with tumor response, both the baseline levels and the pre-post changes will be compared between responders and non-responders using the nonparametric, Wilcoxon rank-sum test. The correlative data will also be entered as covariates into a Cox regression model to determine whether they are predictive of progression-free and overall survival., Baseline and 12 weeks|Adverse events assessed using NCI CTCAE version 3.0, Adverse events will be summarized by type and grade., Up to 6 years",,National Cancer Institute (NCI),,ALL,"ADULT, OLDER_ADULT",PHASE2,88,NIH,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,NCI-2012-02636|NCI-2012-02636|CDR0000398163|UCCRC-13394|NCI-6718|13394A|6718|N01CM62201|N01CM62209,2004-10,2006-12,,2004-12-08,,2014-01-07,"University of Chicago Comprehensive Cancer Center, Chicago, Illinois, 60637-1470, United States",
NCT05335473,Iribrine Plus Tucidinostat in the Treatment of HR+/HER2 Advanced Breast Cancer After CDK4/6 Inhibitor Failure,https://clinicaltrials.gov/study/NCT05335473,,RECRUITING,To explore the safety and efficacy of Eribulin plus Tucidinostat amine in patients with HR+/ HER2-advanced metastatic breast cancer,NO,HR Positive HER2 Negative Advanced Breast Cancer,DRUG: Eribulin and Tucidinostat,"DLT for phaseⅠb, Dose-limiting toxicity defined as any Grade 4 hematological toxicity and any \> Grade 3 non-hematologic toxicity., 1 year|Progression-Free Survival (PFS) for phase Ⅱ, PFS is defined as the time from the date of treatment to the first date of disease progression or death from any cause., 2 years|MTD for phaseⅠb, Maximum tolerated dose is highest dose level in which 6 patients treated with at most 1 experiencing DLT., 1 year","Progression-Free Survival (PFS) for phaseⅠb, PFS is defined as the time from the date of treatment to the first date of disease progression or death from any cause., 2 years|adverse events (AE), The level of the adverse event (AE) is analyzed according to the Common Terminology Criteria for Adverse Event (CTCAE) (version 5.0)., 2 years|Objective Response Rate (ORR), Treatment response are defined as complete response (CR), partial response (PR), stable disease (SD) and progression disease (PD) according to Response Evaluation Criteria in Solid Tumor (RECISIT criteria, version 1.1). The percentage of patients who achieved CR and PR was defined as objective response rate (ORR), 2 years|Clinical Benefit Rate (CBR), CBR is defined as the rate of patients who achieved complete response, partial response, and stable disease for \>= 24 weeks as the best response of treatment., 2 years|Duration of Response (DOR), DOR is defined as the time from the date of the first response (≥PR) that is subsequently confirmed to the date of first confirmed disease progression or death, whichever happens first, 2 years|Overall Survival (OS), OS defined as the time from the first study treatment administration to death from any cause, 2 years",,Henan Cancer Hospital,,FEMALE,"ADULT, OLDER_ADULT",PHASE1|PHASE2,87,OTHER_GOV,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,HNCH-MBC07|CSIIT-C28,2022-05-13,2025-05-01,2025-11-01,2022-04-19,,2023-04-06,"Henan Cancer Hospital, Zhengzhou, China",
NCT03911973,"Gedatolisib Plus Talazoparib in Advanced Triple Negative or BRCA1/2 Positive, HER2 Negative Breast Cancers",https://clinicaltrials.gov/study/NCT03911973,,ACTIVE_NOT_RECRUITING,This study is designed to determine the RP2D of gedatolisib in combination with talazoparib and to evaluate the efficacy of this combination in advanced HER2 negative breast cancer that is triple negative or BRCA1/2 positive (deficient).,NO,TNBC - Triple-Negative Breast Cancer,DRUG: Gedatolisib|DRUG: Talazoparib,"Maximum Tolerated Dose (MTD) of talazoparib in combination with gedatolisib (Phase I), Determine the recommended Phase 2 dose (RP2D) of talazoparib in combination with gedatolisib in patients with advanced human epidermal growth factor receptor 2 (HER2) negative (triple negative or BRCA1/2 deficient) breast cancer., 28 days|Objective Response Rate (ORR) (Phase II), Calculate ORR, which will include confirmed complete response (CR) + confirmed partial response (PR) determined as per RECIST1.1 on treatment with talazoparib in combination with gedatolisib in patients with BRCA1/2 deficient advanced HER2 negative breast cancer., 24 Months","Duration of Response (DOR), Duration of Response (DoR) on treatment with talazoparib in combination with gedatolisib in all patients (Phase I run-in, Cohort A). DoR is defined as the time that measurement criteria are met for complete or partial response (whichever status is recorded first) until the date that recurrent or progressive disease is objectively documented (taking as reference for progressive disease the smallest measurements recorded since treatment started)., 24 Months|Clinical Benefit Rate (CBR) at 16 weeks, Clinical Benefit Rate (CBR) at 16 weeks; this will include sum of confirmed complete plus partial responses plus stable disease at 16 weeks on treatment with talazoparib in combination with gedatolisib in patients with BRCA1/2 negative, or unknown, advanced TNBC (Cohort A) by RECIST 1.1., 16 Weeks|Overall Survival, Overall Survival (OS) defined as the time from treatment initiation with talazoparib in combination with gedatolisib until death as a result of any cause in patients with BRCA1/2 negative, or unknown, advanced TNBC (Cohort A)., 24 Months|Rates of Adverse Events, Rates of adverse events by NCI Common Terminology Criteria for Adverse Events (NCI CTCAE) Version 5 on treatment with talazoparib in combination with gedatolisib in patients with BRCA1/2 negative, or unknown, advanced TNBC (Cohorts A)., 24 Months",,Kari Wisinski,Pfizer|Celcuity Inc,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,37,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,BTCRC-BRE18-337,2019-04-17,2024-07,2024-07,2019-04-11,,2024-06-07,"Northwestern University Feinberg School of Medicine, Chicago, Illinois, 60611, United States|University of Illinois Cancer Center, Chicago, Illinois, 60612, United States|Indiana University Melvin and Bren Simon Comprehensive Cancer Center, Indianapolis, Indiana, 46202, United States|University of Iowa Hospital and Clinics, Iowa City, Iowa, 52242, United States|University of Wisconsin, Madison, Wisconsin, 53792, United States",
NCT05319873,"Ribociclib, Tucatinib, and Trastuzumab for the Treatment of HER2 Positive Breast Cancer",https://clinicaltrials.gov/study/NCT05319873,,RECRUITING,"This phase Ib/II trial studies the side effects and best dose of ribociclib, tucatinib, and trastuzumab for the treatment of HER2 positive breast cancer that has spread to other parts of the body (metastatic), and then compares the effect of ribociclib, tucatinib, trastuzumab with or without fulvestrant to docetaxel, carboplatin, trastuzumab, and pertuzumab (standard of care) for the treatment of early stage breast cancer before surgery (neoadjuvant therapy). Ribociclib and tucatinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Trastuzumab is a form of targeted therapy because it attaches itself to specific molecules (receptors) on the surface of tumor cells, known as HER2 receptors. When trastuzumab attaches to HER2 receptors, the signals that tell the cells to grow are blocked and the tumor cell may be marked for destruction by the body's immune system. Pertuzumab is a monoclonal antibody that may interfere with the ability of tumor cells to grow and spread. Estrogen can cause the growth of breast tumor cells. Fulvestrant blocks the use of estrogen by the tumor cells. Chemotherapy drugs, such as docetaxel and carboplatin, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Giving ribociclib, tucatinib, and trastuzumab with or without fulvestrant before surgery may make the tumor smaller and may reduce the amount of normal tissue that needs to be removed.",NO,Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage IIA Breast Cancer AJCC v8|Anatomic Stage IIB Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IIIA Breast Cancer AJCC v8|Anatomic Stage IIIB Breast Cancer AJCC v8|Anatomic Stage IIIC Breast Cancer AJCC v8|Anatomic Stage IV Breast Cancer AJCC v8|Invasive Breast Carcinoma|Locally Advanced HER2-Positive Breast Carcinoma|Metastatic HER2-Positive Breast Carcinoma|Prognostic Stage IB Breast Cancer AJCC v8|Prognostic Stage II Breast Cancer AJCC v8|Prognostic Stage IIA Breast Cancer AJCC v8|Prognostic Stage IIB Breast Cancer AJCC v8|Prognostic Stage III Breast Cancer AJCC v8|Prognostic Stage IIIA Breast Cancer AJCC v8|Prognostic Stage IIIB Breast Cancer AJCC v8|Prognostic Stage IIIC Breast Cancer AJCC v8|Prognostic Stage IV Breast Cancer AJCC v8,DRUG: Carboplatin|DRUG: Docetaxel|DRUG: Fulvestrant|BIOLOGICAL: Pertuzumab|OTHER: Quality-of-Life Assessment|DRUG: Ribociclib|BIOLOGICAL: Trastuzumab|DRUG: Tucatinib,"Maximum tolerated dose (MTD) (Phase Ib), Defined as the highest dose level that does not lead to unacceptable toxicity in two or more patients in a dosing level., During the first cycle of treatment (1 cycle = 28 days)|Pathologic complete response (pCR) (Phase II), Defined as no invasive tumor in the breast or lymph nodes at the time of surgery. Response evaluable participants are defined as participants who are randomized and have receive at least one cycle of protocol therapy. The pCR rate is defined as percentage of randomized patients with a pCR in each of the treatment arms.The estimated pCR rate (and 95% confidence interval \[CIs\]) will be calculated for each experimental arm and compared to the corresponding control arm using the Cochran-Mantel-Haenszel x\^2 test, with a two-sided significance level of 5%. Absolute differences in pCR rate between study arms will be calculated, along with 95% exact confidence intervals. This will be stratified according to hormone receptor (HR) status Multivariate logistic regression will be used to control for important baseline characteristics and odds ratios with corresponding CIs will be calculated., Up to 30 days after last treatment dose","Clinical objective response rate (ORR) (Phase IB and II), ORR will be evaluated by Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 using caliper measurements. A responder is defined as any participant who exhibits a complete response (CR) or partial response (PR). The clinical response rate is estimated as the total number of CRs and PRs divided by the total number of participants randomized.The estimated ORR rate (and 95% CIs) will be calculated for each treatment arm and compared using the Cochran-Mantel-Haenszel x\^2 test, with a two-sided significance level of 5%. Absolute differences in pCR rate between study arms will be calculated, along with 95% exact confidence intervals. This will be stratified according to HR status. Multivariate logistic regression will be used to control for important baseline characteristics and odds ratios with corresponding CIs will be calculated., Up to 30 days after last treatment dose|Evaluate the pharmacokinetics of ribociclib and tucatinib when given in combination with tucatinib and trastuzumab. (Phase 1b): Area Under Curve (AUC), The pharmacokinetic (PK) parameter - area under the plasma concentration-time curve (AUC) will be determined for ribociclib and tucatinib in all Phase 1b participants., Pre-infusion and 1, 2, 3, and 6 hours after the start of the infusion|Evaluate the pharmacokinetics of ribociclib and tucatinib when given in combination with tucatinib and trastuzumab. (Phase 1b): Elimination half-life (t½), The pharmacokinetic (PK) parameter - Elimination half-life (t½) will be determined for for ribociclib and tucatinib in all Phase 1b participants., Pre-infusion and 1, 2, 3, and 6 hours after the start of the infusion|Evaluate the pharmacokinetics of ribociclib and tucatinib when given in combination with tucatinib and trastuzumab. (Phase 1b): Maximum plasma concentration (Cmax), Maximum plasma concentration (Cmax) will be determined for for ribociclib and tucatinib in all Phase 1b participants., Pre-infusion and 1, 2, 3, and 6 hours after the start of the infusion|Evaluate the pharmacokinetics of ribociclib and tucatinib when given in combination with tucatinib and trastuzumab. (Phase 1b): Minimum plasma concentration, Minimum plasma concentration will be determined for ribociclib and tucatinib in all Phase 1b participants., Pre-infusion and 1, 2, 3, and 6 hours after the start of the infusion|Evaluate the pharmacokinetics of ribociclib and tucatinib when given in combination with tucatinib and trastuzumab. (Phase 1b): Time when Cmax occurs (Tmax), Time when Cmax occurs (Tmax) will be determined for ribociclib and tucatinib in all Phase 1b participants., Pre-infusion and 1, 2, 3, and 6 hours after the start of the infusion|Evaluate the pharmacokinetics of ribociclib and tucatinib when given in combination with tucatinib and trastuzumab. (Phase 1b): Average plasma concentration at steady state (Cavg), Average plasma concentration at steady state (Cavg) will be determined for ribociclib and tucatinib in all Phase 1b participants., Pre-infusion and 1, 2, 3, and 6 hours after the start of the infusion|Quality of life (QOL) (Phase II), The EPRTC QLQ-C30 (European Organization for the Research and Treatment of Cancer- Quality of Life questionnaire) is composed of both multi-item scales and single-item measures. These include five functional scales, three symptom scales, a global health status / Quality of Life (QoL) scale, and six single items. Each of the multi-item scales includes a different set of items - no item occurs in more than one scale.All of the scales and single-item measures range in score from 0 to 100. A high scale score represents a higher response level. Thus a high score for a functional scale represents a high / healthy level of functioning, a high score for the global health status / QoL represents a high QoL, but a high score for a symptom scale / item represents a high level of symptomatology / problems., Up to 7 days after last treatment dose|Measure the gene expression and/or biomarker changes that may be correlated with or predict biological, clinical, and pathologic response (Phase II), Primary analysis of these molecular changes will include a linear model with treatment and hormone receptor status fixed effects. Separate analyses for change after 1 cycle and all cycles will be performed and compared to baseline levels. Serum and tumor biomarker analyses, including but not limited to on treatment tumor CD45 expression and germline IL6 promoter genotyping will be correlated with clinical outcomes and important clinical characteristics. Absolute change in Ki67 and cell cycle arrest rate (defined as a Ki67 of =\< 2.7%) will be analyzed separately., Up to 30 days after last treatment dose",,Jonsson Comprehensive Cancer Center,Seagen Inc.|Novartis,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,18,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,21-001819|NCI-2021-11707,2022-04-07,2026-04-01,2027-04-01,2022-04-08,,2025-05-13,"UCLA / Jonsson Comprehensive Cancer Center, Los Angeles, California, 90095, United States",
NCT05263882,Gemcitabine Combined With Eribulin Regimen in the Treatment of Second-line Above Recurrent HER2-negative Breast Cancer,https://clinicaltrials.gov/study/NCT05263882,,UNKNOWN,"This study intends to conduct a single-arm, open-label Phase II multicenter clinical study of gemcitabine combined with eribulin regimen in the treatment of second-line above recurrent HER2-negative breast cancer. Patients with recurrent HER2-negative breast cancer were recruited, and the efficacy and clinical significance of gemcitabine combined with eribulin regimen in the treatment of recurrent HER2-negative breast cancer second-line above was studied.",NO,HER2-negative Breast Cancer,DRUG: Gemcitabine combined with eribulin,"Recent objective efficacy evaluation, In this clinical study, the efficacy evaluation method of RECIST version 1.1 was adopted, and the objective efficacy changes were evaluated according to the changes in the sum of the longest diameters of each target lesion., 2 years","Disease progression-free survival, progression-free survival is defined as the time from the date of randomization to any objectively documented tumor progression or patient death. In the event of a patient lost to follow-up, unexplained death or other anti-tumor therapy, the Disease progression-free survival was calculated up to this point., 2 years","Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability], From the time the patient signed the informed consent form and was enrolled in the trial, any adverse medical event that occurred within 1 month after the end of treatment, regardless of whether it was causally related to the trial drug, was judged as an adverse event (AE). AEs were recorded truthfully during the trial, including the occurrence time, severity, duration, measures taken and outcomes of AEs. The investigator should follow up all AEs until symptoms disappear or the condition stabilizes. For SAEs, they should be followed until properly resolved even after the study ends., 2 Years","Fifth Affiliated Hospital, Sun Yat-Sen University",,FEMALE,"ADULT, OLDER_ADULT",PHASE2,58,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,ZDWY.XBZL.002,2022-03,2023-12,2024-09,2022-03-03,,2022-03-03,,
NCT01184482,Lapatinib and Cetuximab in Patients With Solid Tumors,https://clinicaltrials.gov/study/NCT01184482,TYKERB-ITUX 1,COMPLETED,"This trial is for patients with colon cancer, head and neck cancer and lung cancer that has not responded to standard therapy.Cetuximab targets a receptor on cancer cells called the Epidermal Growth Factor Receptor or EGFR. It is thought that this receptor is turned ""on"" in some cancers, enabling cancer cells to divide and grow. Blocking this receptor can turn this signal off. Cetuximab blocks this receptor from the outside of cancer cells. It is thought that cancer cells can turn this signal back on by the EGFR joining with a related receptor called ErbB2. Lapatinib blocks both EGFR and ErbB2 from the inside of cancer cells. In laboratory experiments it has been found that combining drugs that target both EGFR and ErbB2 might work better in turning this signal back off. The purpose of this study is to determine the maximum dosages that patients can tolerate when these two medicines are given at the same time.In addition, in order to be on this trial, patients must agree to have a tumor biopsy before starting treatment on this study and 21 days after starting treatment. These biopsies are a required part of the study. Patients must also agree to have blood drawn for research testing to see whether genetic differences between patients explain different reactions to and side effects from, these medicines.",NO,Colorectal Cancer|Lung Cancer|Head and Neck Cancer,DRUG: cetuximab and lapatinib,"Maximum tolerated dose, The dose at which \</= 1 out of 6 subjects experiences a dose limting toxicity, 12 months","response rate, How well tumor responds to treatment as measured by RECIST criteria, 12 months|Pharmacokinetics, Pharmacokinetics of lapatinib as measured by weekly trough levels, 12 months|Genetic polymorphisms, genetic polymorphisms in ABCG2, ABCB1, CYP3A4, and CYP3A5 wil be identified and counted, 12 months|Genetic variations and activation status for EGFR and ErbB2 pathways, Genetic variations and activation status for EGFR amd ErbB2 pathways will be measured in pre- and post-therapy biopsies and assessed with western blots and IHC., 12 months",,Georgetown University,GlaxoSmithKline,ALL,"ADULT, OLDER_ADULT",PHASE1,22,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,tykerb-itux 1|2010-218,2010-06,2013-06,2013-09,2010-08-19,,2013-10-31,"Georgetown University Medical Center, Washington, District of Columbia, 20007, United States",
