NCT Number,Study Title,Brief Summary,Conditions
NCT03310827,DNA-based Dietary Advice for Adults With Depressive Disorders,"To evaluate the feasibility of nutrigenomics as an intervention for mental health conditions, a phase I randomized controlled trial of 42 adults (19 to 50 years) with depressive disorders using a 2:1 ratio of group selection (28 in the intervention {I} group and 14 in the control {C} group) is proposed. Participants with a confirmed depressive disorder will be recruited from two local mental health clinics. Those randomized into the I group will do the gene testing and be provided personalized DNA-based dietary advice from a registered dietitian; those in the C group will also receive testing but be given general dietary advice by a registered dietitian. Pre- and post-intervention comparisons (3 and 6 weeks after a personalized nutrition plan is given) will be analyzed based on records of dietary intakes (i.e., 3 day food records and food frequency questionnaire) and psychiatric functioning (e.g., Quick Inventory of Depressive Symptomology, Hospital Anxiety and Depression Scale, Outcome Questionnaire - OQ-45). In addition, measures that track physical activity, sedentary behavior, and sleep quality as well as sociodemographics will be included as covariates. After the intervention study is completed, in-depth focus group interviews will be conducted. Participants will be asked questions that will elicit their perceptions of the nutrigenomics test and the personalized dietary advice provided as well as the behavioural response to disclosure of genetic information.",Depression
NCT03186027,Coenzyme Q10 Plus NADH Supplementation in Chronic Fatigue Syndrome/Myalgic Encephalomyelitis,"The main aim of the study is to examine the effect of oral CoQ10 plus NADH (Reconnect®) supplementation twice daily for 8-weeks on the changes in fatigue perception, sleep disturbances, autonomic dysfunction and HRQoL assessed by patient-reported outcome measures in CFS/ME.",Chronic Fatigue Syndrome
NCT04210973,Comparison of Anyu Peibo With Placebo in Treatment of MDD in China,The purpose of this study is to evaluate the efficacy and safety of Anyu Peibo Capsule comparing with placebo in the treatment of Chinese Patients with Depression.,Major Depressive Disorder
NCT04833673,"The Effects of Relaxation Techniques on Pain, Fatigue and Kinesiophobia in Multiple Sclerosis Patients: A Three Arms Randomized Trial","Even though, current treatments including IVIG, corticosteroids, biological agents can provide positive effects on MS symptoms, MS cannot be cured completely today. Therefore, in addition to the available medical treatment options, patients may tend towards complementary and integrative therapies. Relaxation techniques are one of the non-pharmacological and side-effect-free therapy options that are currently used to alleviate the symptoms of many different chronic diseases. Progressive muscle relaxation exercise (PMR) and Benson relaxation technique (BRT) are two common types of relaxation techniques recommended for symptom management in chronic diseases owing to simple to learn and apply compared to other complementary and integrative methods for patients. PMR is uncomplicated and low-cost method, originally designed by Jacobson (1938), which helps individuals to feel calmer through consecutive muscle tension and relaxation of a muscle group. This method can relieve muscle tension, facilitate sleep, and reduce severity of pain and fatigue. There are studies in the literature reporting the positive effects of PMR on fatigue, sleep quality, quality of life, anxiety and stress in MS patients. One of these techniques which is well tolerated is BRT, designed by Herbert Benson in the 1970s as a nonpharmacologic and behavioral method. This technique led to relaxation using mental imagery and mediation. BRT creates a relaxation influence in the body by decreasing the sympathetic nervous system activity and increasing the parasympathetic nervous system activity. There are few studies in the literature reporting that BRT is beneficial on pain and fatigue in MS patients.To the best of our knowledge, there is no study on the impact of relaxation techniques on pain, fatigue and kinesophobia in MS patients. The aim of this study was to examine and compare the effects of PMR and BRT on abovementioned symptoms in MS patients.","Multiple Sclerosis, Relapsing-Remitting|Pain, Chronic|Fatigue Syndrome, Chronic|Kinesiophobia"
NCT06084273,Investigation Of Two Different İnterventions İn Hemiplegic Patients,"Background: Our study aims to determine the effect of relaxation and breathing exercises in addition to the treatment procedure on depression level, sleep quality, and spasticity in hemiplegic patients.Methods: Thirty patients aged 40-70 years diagnosed with hemiplegia were included in the study. All patients received the same Bobath exercise three days a week for six weeks. Patients in Group 2 additionally received breathing and relaxation exercises. Sleep quality assessment by Pittsburgh Sleep Quality Index (PUKI), depression by Hospital Anxiety and Depression Scale (HADS), and spasticity by Modified Ashworth scale (MAS) were used. All assessments were made at baseline and six weeks after exercise treatments.",Stroke|Physiotherapy and Rehabilitation
NCT06498531,HighCycle Study: Effect of Acetazolamide on Sleep Disordered Breathing in Women Compared to Men,Randomized clinical trial evaluating the effect of acetazolamide on sleep disordered breathing in women compared to men travelling to 3600 m.,Sleep-Disordered Breathing
NCT02169531,Ex Vivo Immunotherapy for Hyperglycemia in Type 2 Diabetes Mellitus,"Diabetes mellitus type 2 is a long-term metabolic disorder that is primarily characterized by insulin resistance, relative insulin deficiency and hyperglycemia. Our hypotheses is that liver would be the primary organ responsible for the metabolic disorder because of some unknown defects, where sugar would not be efficiently converted to glycogen and fat, leading to hyperglycemia. The constant hyperglycemia would keep pressure on beta-cells in the pancreas to eventually exhaust their ability to produce and secret sufficient amount of insulin, exacerbating the disease. The Immunotherapy would enhance the liver functions and correct the abnormal sugar metabolism. In addition, the ex vivo activated cells produce and secret growth factors which would help endothelial cells of blood vessels to reproduce and grow, resulting in reduced arteriosclerosis.",Type 2 Diabetes Mellitus|Hyperglycemia
NCT05800431,NESA Microcurrents on Quality of Life in Geriatric Patients,"In recent years, the population of older adults (MA) in the world has been increasing, due to the increase in life expectancy and the decrease in the fertility rate. The United Nations (UN) places Spain as the most aged country in the world in the year 2050, with 40% of its population over 60 years of age. There is evidence that quality of life in the elderly is associated with variables linked to physical and psychological health. Thus, for example, previous research indicates that perceived health and cognitive functioning influence the perception of quality of life.The NESA XSIGNAL® device is a low-frequency, non-invasive neuromodulation device that uses microcurrents to restore electrical balance in the body. This technology is approved as medical equipment and is CE marked.This non-invasive neuromodulation equipment is starting to have promising results in patients with sleep disorders. So it can be a useful tool to reduce the impact on the geriatric patient's quality of life.",Aging
NCT05097027,Blood Flow Restriction and Recovery in Soccer Players,"The objective is to evaluate the effects of blood flow restriction training on the post-competition recovery of professional and semi-professional soccer players. Randomized crossover clinical trial, with two intervention groups: Experimental group I will carry out a recovery training based on the use of the blood flow restriction (BFR) on day 1 post-competition. On the other hand, the Experimental II group will perform the same recovery training without the use of BFR. After 1 month the groups will cross their intervention and make the recovery with the opposite method to the initial one. The study will be carried out during the 2021-2022 season, from first regional to third division of Spanish soccer, with soccer teams from the Mallorca Island. Before the competition, the countermovement jump (CMJ) will be evaluated and repeated at 0, 24, and 72 h after the competition. The levels of muscle soreness (DOMS) will be evaluated pre-post-competition 0, 24, 48 and 72h later. The same procedure will be carried out to evaluate muscle fatigue, sleep quality, and stress through a questionnaire that athletes will fill out pre, 0, 24, 48 and 72h after the game. Sociodemographic and anthropometric data will be collected before starting the study.",Resistance Training|Recovery
NCT06308627,A One-year Trajectory of Depression Status Changes in Older Adults With MCI and SD: a Longitudinal Cohort Study,"The purpose of this study is to investigate the one-year trajectory of changes in depression status in older adults with mild cognitive impairment and subthreshold depression, and to explore relevant risk factors for predicting changes in depression status. This one-year prospective longitudinal follow-up study involved 400 (expected) subjects who met the diagnostic criteria for mild cognitive impairment combined with subthreshold depression in older adults, and their depressive status was assessed using the Geriatric Depression Scale (GDS). Follow up monitoring of depression status at 6 and 12 months. Obtain factors related to changes in depressive status (such as age, gender, education level, cognitive function, anxiety level, sleep status, social support, psychological resilience, social network, etc.). By studying the longitudinal trajectory of depression status in elderly patients with mild cognitive impairment and subthreshold depression, a multi state Markov model with time and state discreteness is constructed, namely: State 1 (normal); State 2 (subthreshold depression); State 3 (mild depression); State 4 (moderate depression); State 5 (severe depression). Deeply explore and analyze the impact of certain factors and indicators on the transition between states, and estimate the probability of transition between states.",Mild Cognitive Impairment|Subthreshold Depression|Older Adults
NCT05632627,"Cannabinoids and Traumatic Brain Injury: A Randomized, Placebo Controlled Trial","This is a double-blind, placebo-controlled, parallel group study designed to assess the tolerability and efficacy of fsCBD and bsCBD, compared to a placebo control, to improve cognition and traumatic brain injury-related symptoms. If eligible for the study, subjects will be randomized to receive one of the conditions for 12 weeks.","Brain Injuries, Traumatic"
NCT01987427,"A Multicenter, Double-blind, Randomized, Parallel-group, Pilot Study of 12-week Duration to Assess the Short-term Safety and Tolerability of Lorcaserin Plus Two Doses of Immediate-Release Phentermine-HCl Compared With Lorcaserin Alone in Overweight and Obese Adults","APD356-A001-402 is a multicenter, double-blind, randomized, parallel-group pilot study of 12-week duration in overweight and obese adults. Approximately 225 subjects will be randomized to one of three treatment arms in a ratio 1:1:1 and will receive the combinations of lorcaserin 10 mg twice daily (BID) plus immediate-release phentermine-HCl 15 mg BID or 15 mg once daily (QD), or lorcaserin alone.",Chronic Weight Management
NCT03301727,Sleeping for Two: RCT of CBT-Insomnia in Pregnancy,"Cognitive-behavioural therapy for insomnia (CBT-I) has been shown to be an effective treatment for insomnia in multiple populations, including women during pregnancy and postpartum. Online CBT-I has also been shown to be effective and comparable to in-person CBT-I, and shows promise as an accessible treatment alternative to in-person CBT-I for pregnant women experiencing insomnia. As the harmful consequences of insomnia or sleep disturbances have been well documented during late pregnancy, this randomized-controlled trial will compare the efficacy of both in-person and online CBT-I on pregnant women with insomnia to a wait-list control group.",Insomnia|Sleep Disturbance
NCT03942627,Promoting Maternal Mental Health and Wellbeing in Neonatal Intensive Care,"This small randomized pilot study will evaluate feasibility and preliminary outcomes of an audio-delivered mindfulness program to reduce psychological distress for mothers with an infant in neonatal intensive care, as compared with an active control condition.",Depressive Symptoms|Anxiety|Post-traumatic Stress Symptoms
NCT06413173,Remotely Supervised tDCS+ for Complex Attention in mTBI (Cognetric),"The proposed study will evaluate a new approach to cognitive rehabilitation of mTBI using a brain stimulation technique called ""Remotely Supervised Transcranial Direct Current Stimulation combined with Cognitive Training"" (RS-tDCS+) which has shown promise for improving complex attention in both healthy and clinical populations. RS-tDCS+ is a home-based, low-risk, non-invasive technique that is designed to boost cognitive training by enhancing learning and the brain's ability to reorganize connections. This study will evaluate RS-tDCS+ for improving complex attention in Active Duty Service Members (ADSM) and Veterans with a history of mTBI. Different tests of complex attention and symptom questionnaires will be used to determine the effects of real versus sham (placebo) RS-tDCS+. Second, the investigators will investigate electrical and connectivity changes in the brain associated with RS-tDCS+ using electroencephalogram (EEG) and magnetic resonance imaging (MRI). Third, the investigators will investigate the lasting effects of any observed changes by evaluating participants at 1 and 6 weeks post-treatment. Lastly, the investigators will explore the impact of individual differences (e.g., PTSD, depression, sleep quality, time since injury, baseline impairment, age, sex, ADSM versus Veteran) on treatment outcome.","Brain Concussion|Brain Trauma|Attention Concentration Difficulty|Brain Injuries|Brain Injuries, Traumatic|Neurocognitive Dysfunction|Attention Impaired|Memory Impairment|Mild Traumatic Brain Injury|Mild Cognitive Impairment|Post Concussive Symptoms"
NCT06837831,Efficacy of Mepilex Lite Dressings in Treating Anal Pain,"BACKGROUND: Rectal cancer is a common gastrointestinal tumor, and low and intermediate rectal cancer accounts for 90% of rectal cancer. Radiotherapy is one of the important means of rectal cancer treatment, but the radiotoxicity induced by radiotherapy should not be neglected. As normal tissues around the target organ of radiotherapy, the anal canal is damaged by radiation and mucous membrane damage occurs, which is manifested as mucous membrane congestion, edema and ulceration, etc., and pain in the anal area occurs. With the accumulation of radiotherapy dose, the mucosal damage of the anal canal becomes more and more serious, and the anal pain of the patients is severe, which seriously affects the life quality of the patients. Therefore, the main objective of this study is to determine the effectiveness of mepilex lite dressings combined with indomethacin suppositories in the treatment of anal pain in patients undergoing radiotherapy for low and intermediate rectal cancer.METHODS: The study protocol will be a single-blind randomized controlled trial. A randomized grouping method was used to divide the participants into an observation group (n=98) and a control group (n=98). The control group was given routine nursing measures, and the experimental group was given mepilex lite dressings for intra-anal insertion combined with indomethacin suppository for anal administration on the basis of routine nursing measures. The primary outcome indicator was anal pain score. Secondary outcome indicators were anxiety score, sleep quality score and comfort score. Assessments were made at baseline (anal pain NRS score ≥7 in patients undergoing radiotherapy for low to intermediate rectal cancer), day 1, day 7 and day 14 post-intervention. Statistical analyses will be performed using SPSS 25.0 and a significance level of p≤0.05 will be used for all tests.","Rectal Cancer, Radiotherapy|Anal Pain"
